Company,TypeName,Inches,Ram,OpSys,Weight,Price,HasIpsPanel,HasTouchScreen,ResWidth,ResHeight,ResCategory,Ppi,Ssd,Hdd,Flash,Hybrid,CpuCategory,CpuSpeedGhz,GpuCategory
Apple,Ultrabook,13.3,8,macOS,1.37,71379,1,0,2560,1600,High,226.98,128,0,0,0,Intel Core i5,2.3,Intel High-End
Apple,Ultrabook,13.3,8,macOS,1.34,47896,0,0,1440,900,Mid,127.68,0,0,128,0,Intel Core i5,1.8,Intel Low-End
HP,Notebook,15.6,8,No OS,1.86,30636,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,Intel Low-End
Apple,Ultrabook,15.4,16,macOS,1.83,135195,1,0,2880,1800,Ultra,220.53,512,0,0,0,Intel Core i7,2.7,AMD High-End
Apple,Ultrabook,13.3,8,macOS,1.37,96096,1,0,2560,1600,High,226.98,256,0,0,0,Intel Core i5,3.1,Intel High-End
Acer,Notebook,15.6,4,Windows 10,2.1,21312,0,0,1366,768,Low,100.45,0,500,0,0,AMD A9,3.0,AMD Low-End
Apple,Ultrabook,15.4,16,macOS X,2.04,114018,1,0,2880,1800,Ultra,220.53,0,0,256,0,Intel Core i7,2.2,Intel High-End
Apple,Ultrabook,13.3,8,macOS,1.34,61736,0,0,1440,900,Mid,127.68,0,0,256,0,Intel Core i5,1.8,Intel Low-End
Asus,Ultrabook,14.0,16,Windows 10,1.3,79654,0,0,1920,1080,Mid,157.35,512,0,0,0,Intel Core i7,1.8,Nvidia Mid-End
Acer,Ultrabook,14.0,8,Windows 10,1.6,41026,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
HP,Notebook,15.6,4,No OS,1.86,20987,0,0,1366,768,Low,100.45,0,500,0,0,Intel Core i5,2.5,Intel Low-End
HP,Notebook,15.6,4,No OS,1.86,18381,0,0,1920,1080,Mid,141.21,0,500,0,0,Intel Core i3,2.0,Intel Low-End
Apple,Ultrabook,15.4,16,macOS,1.83,130002,1,0,2880,1800,Ultra,220.53,256,0,0,0,Intel Core i7,2.8,AMD High-End
Dell,Notebook,15.6,4,Windows 10,2.2,26581,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i3,2.0,AMD Low-End
Apple,Ultrabook,12.0,8,macOS,0.92,67261,1,0,2304,1440,High,226.42,256,0,0,0,Other Intel,1.2,Intel Low-End
Apple,Ultrabook,13.3,8,macOS,1.37,80908,1,0,2560,1600,High,226.98,256,0,0,0,Intel Core i5,2.3,Intel High-End
Dell,Notebook,15.6,8,Windows 10,2.2,39694,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,2.7,AMD Low-End
Apple,Ultrabook,15.4,16,macOS,1.83,152274,1,0,2880,1800,Ultra,220.53,512,0,0,0,Intel Core i7,2.9,AMD High-End
Lenovo,Notebook,15.6,8,No OS,2.2,26587,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.4,Nvidia Mid-End
Dell,Ultrabook,13.3,8,Windows 10,1.22,52161,1,1,1920,1080,Mid,165.63,128,0,0,0,Intel Core i5,1.6,Intel Mid-End
Asus,Netbook,11.6,2,Windows 10,0.98,10224,0,0,1366,768,Low,135.09,0,0,32,0,Other Intel,1.44,Intel Low-End
Lenovo,Gaming,15.6,8,Windows 10,2.5,53227,1,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i5,2.5,Nvidia High-End
HP,Notebook,15.6,4,No OS,1.86,13746,0,0,1366,768,Low,100.45,0,500,0,0,AMD E-Series,1.5,AMD Low-End
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636,0,1,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
HP,Ultrabook,15.6,8,Windows 10,1.91,35112,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,Intel Low-End
Dell,Notebook,15.6,4,Windows 10,2.3,22305,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i3,2.0,Intel Low-End
Apple,Ultrabook,13.3,8,macOS X,1.35,58555,0,0,1440,900,Mid,127.68,0,0,128,0,Intel Core i5,1.6,Intel Low-End
Dell,Notebook,15.6,8,Windows 10,2.2,42624,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,AMD Mid-End
Dell,Ultrabook,15.6,8,Windows 10,1.88,69157,0,0,1920,1080,Mid,141.21,512,0,0,0,Intel Core i7,1.9,Intel Mid-End
HP,Notebook,17.3,8,Windows 10,2.5,47739,0,0,1920,1080,Mid,127.34,0,1000,0,0,Intel Core i5,1.6,Nvidia Mid-End
Chuwi,Notebook,15.6,4,Windows 10,1.89,13053,0,0,1920,1080,Mid,141.21,0,0,64,0,Other Intel,1.44,Intel Low-End
Asus,Notebook,14.0,2,Windows 10,1.65,10603,0,0,1366,768,Low,111.94,0,0,32,0,AMD E-Series,1.5,AMD Low-End
HP,Notebook,17.3,4,Windows 10,2.71,23390,0,0,1920,1080,Mid,127.34,0,500,0,0,AMD A6,2.5,AMD Mid-End
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580,0,1,3200,1800,Ultra,276.05,512,0,0,0,Intel Core i7,1.8,Intel Mid-End
Apple,Ultrabook,13.3,8,macOS X,1.35,53173,0,0,1440,900,Mid,127.68,0,0,256,0,Intel Core i5,1.6,Intel Low-End
Lenovo,Notebook,14.0,4,Windows 10,1.44,13267,0,0,1366,768,Low,111.94,0,0,64,0,Other Intel,1.1,Intel Low-End
Acer,Notebook,15.6,4,Linux,2.1,19554,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i3,2.7,Intel Low-End
Dell,Notebook,17.3,8,Windows 10,2.8,52161,1,0,1920,1080,Mid,127.34,128,1000,0,0,Intel Core i5,1.6,AMD Mid-End
HP,Notebook,15.6,4,Windows 10,1.86,26037,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i5,2.5,Intel Low-End
HP,Notebook,15.6,8,Windows 10,2.1,46833,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,Nvidia Mid-End
Asus,Notebook,15.6,4,Linux,2.0,20726,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.0,Intel Low-End
Dell,Gaming,15.6,16,Windows 10,2.65,79867,1,0,1920,1080,Mid,141.21,256,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Asus,Notebook,15.6,8,Linux,2.3,27865,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i5,2.5,Nvidia Mid-End
Acer,Notebook,15.6,4,Windows 10,2.2,36337,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53227,0,1,1920,1080,Mid,127.34,0,1000,0,0,Intel Core i5,1.6,Nvidia Mid-End
Apple,Ultrabook,13.3,8,macOS,1.37,75604,1,0,2560,1600,High,226.98,256,0,0,0,Intel Core i5,2.0,Intel High-End
Lenovo,Notebook,15.6,4,No OS,2.2,19660,0,0,1366,768,Low,100.45,128,0,0,0,Intel Core i3,2.0,Intel Low-End
Asus,Gaming,17.3,8,Windows 10,3.2,69211,0,0,1920,1080,Mid,127.34,256,1000,0,0,AMD Ryzen,3.0,AMD High-End
Dell,Notebook,15.6,4,Windows 10,2.3,34046,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,AMD Low-End
Asus,Notebook,17.3,4,Windows 10,2.8,24828,0,0,1366,768,Low,90.58,0,1000,0,0,Other Intel,1.1,Nvidia Low-End
Acer,Notebook,15.6,8,Windows 10,2.2,44808,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,Nvidia Mid-End
HP,Notebook,15.6,4,Windows 10,1.86,21232,0,0,1920,1080,Mid,141.21,256,0,0,0,AMD A6,2.5,AMD Low-End
HP,Notebook,13.3,8,Windows 10,1.49,58768,0,0,1920,1080,Mid,165.63,512,0,0,0,Intel Core i7,1.8,Intel Mid-End
Acer,Notebook,15.6,4,Windows 10,2.4,20460,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i3,2.4,Intel Low-End
Dell,Notebook,15.6,8,Windows 10,2.13,40908,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,AMD Mid-End
HP,Notebook,15.6,4,Windows 10,1.91,23390,0,0,1920,1080,Mid,141.21,128,0,0,0,Intel Core i3,2.0,Intel Low-End
Asus,Notebook,15.6,4,Windows 10,2.0,31232,0,0,1366,768,Low,100.45,256,0,0,0,Intel Core i5,2.5,Intel Low-End
MSI,Gaming,17.3,16,Windows 10,2.43,130483,0,0,1920,1080,Mid,127.34,256,2000,0,0,Intel Core i7,2.8,Nvidia High-End
Asus,Notebook,15.6,4,Linux,2.0,22111,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i3,2.0,Intel Low-End
Dell,Notebook,17.3,16,Windows 10,2.8,69211,0,0,1920,1080,Mid,127.34,256,2000,0,0,Intel Core i7,1.8,AMD Mid-End
Dell,Ultrabook,14.0,8,Windows 10,1.7,46833,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Lenovo,Notebook,14.0,8,No OS,1.7,31915,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i3,2.7,Intel Low-End
Asus,Notebook,14.0,8,Windows 10,1.4,50136,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
HP,Notebook,15.6,8,Windows 10,1.86,36763,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,Intel Low-End
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654,0,0,1920,1080,Mid,141.21,512,0,0,0,Intel Core i7,2.8,Nvidia High-End
HP,Notebook,15.6,4,Windows 10,1.86,23373,0,0,1366,768,Low,100.45,0,500,0,0,Intel Core i3,2.0,AMD Mid-End
HP,Notebook,14.0,4,Windows 10,1.44,12201,0,0,1366,768,Low,111.94,32,0,0,0,Other Intel,1.6,Intel Low-End
Lenovo,Notebook,15.6,4,Windows 10,1.9,29251,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i5,2.5,Intel Low-End
Asus,Gaming,17.3,12,Linux,3.0,50563,0,0,1920,1080,Mid,127.34,0,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Microsoft,Ultrabook,13.5,4,Windows 10,1.252,58022,0,1,2256,1504,High,200.84,128,0,0,0,Intel Core i5,2.5,Intel Low-End
Dell,Ultrabook,13.3,8,Windows 10,1.4,50882,1,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i7,1.8,AMD Mid-End
Dell,Notebook,15.6,8,Windows 10,2.2,46354,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,AMD Mid-End
MSI,Gaming,17.3,8,Windows 10,2.7,58342,0,0,1920,1080,Mid,127.34,128,1000,0,0,Intel Core i5,2.5,Nvidia High-End
Acer,Notebook,14.0,8,Windows 10,2.1,20726,0,0,1366,768,Low,111.94,0,1000,0,0,Intel Core i3,2.0,Intel Low-End
Asus,Gaming,15.6,8,Windows 10,2.2,50563,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Lenovo,Notebook,15.6,8,No OS,2.2,27652,0,0,1920,1080,Mid,141.21,0,2000,0,0,Intel Core i5,2.5,Intel Low-End
Dell,Notebook,15.6,8,Windows 10,2.02,45554,0,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i7,1.8,Intel Mid-End
Acer,Notebook,15.6,4,Windows 10,2.2,28238,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.7,Nvidia Mid-End
HP,Notebook,17.3,8,Windows 10,2.5,52055,0,0,1920,1080,Mid,127.34,128,1000,0,0,Intel Core i5,1.6,Nvidia Mid-End
Dell,Ultrabook,15.6,8,Windows 10,1.88,58403,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Apple,Ultrabook,12.0,8,macOS,0.92,80453,1,0,2304,1440,High,226.42,512,0,0,0,Intel Core i5,1.3,Intel Low-End
HP,Notebook,14.0,8,Windows 10,1.63,45821,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,1.6,Intel Low-End
Lenovo,Notebook,15.6,4,Windows 10,2.2,21259,0,0,1920,1080,Mid,141.21,128,0,0,0,AMD A6,2.5,AMD Low-End
Acer,Notebook,15.6,4,Windows 10,2.1,21046,0,0,1366,768,Low,100.45,0,1000,0,0,AMD A9,3.0,AMD Low-End
Dell,Gaming,15.6,16,Windows 10,2.65,71875,1,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i7,2.8,Nvidia High-End
HP,Ultrabook,15.6,8,Windows 10,1.83,37243,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,Nvidia Mid-End
HP,Notebook,15.6,8,Windows 10,1.96,31914,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,Intel Low-End
Asus,Gaming,15.6,16,Windows 10,2.2,77203,1,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Dell,Ultrabook,13.3,8,Windows 10,1.21,87859,1,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i7,1.8,Intel Mid-End
Asus,Gaming,15.6,8,Windows 10,2.45,37243,0,0,1920,1080,Mid,141.21,0,1000,0,0,AMD FX,3.0,AMD High-End
Acer,Notebook,15.6,8,Windows 10,2.2,36710,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i7,1.8,Nvidia Mid-End
HP,Notebook,13.3,16,Windows 10,1.49,63776,0,0,1920,1080,Mid,165.63,512,0,0,0,Intel Core i7,1.8,Intel Mid-End
Dell,Gaming,15.6,8,Windows 10,2.65,63670,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,Nvidia High-End
Asus,Ultrabook,14.0,8,Windows 10,1.25,55891,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,2.7,Intel Low-End
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128,1,1,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Dell,Notebook,15.6,8,Linux,2.2,31963,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i7,2.7,AMD Low-End
Dell,Notebook,15.6,4,Linux,2.2,25841,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i3,2.0,AMD Low-End
Asus,Notebook,15.6,6,Windows 10,2.0,30743,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i3,2.4,Nvidia Low-End
HP,Gaming,15.6,12,Windows 10,2.62,66547,1,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i7,2.8,Nvidia High-End
HP,Notebook,15.6,8,Windows 10,1.91,38308,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,2.7,AMD Mid-End
HP,Notebook,15.6,4,Windows 10,2.1,18595,0,0,1920,1080,Mid,141.21,0,500,0,0,AMD E-Series,1.5,AMD Low-End
Dell,Notebook,15.6,8,Linux,2.2,34472,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i5,1.6,AMD Mid-End
HP,Ultrabook,13.3,8,Windows 10,1.38,59620,1,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i7,2.7,Nvidia Mid-End
Microsoft,Ultrabook,13.5,8,Windows 10,1.252,71395,0,1,2256,1504,High,200.84,256,0,0,0,Intel Core i5,2.5,Intel Low-End
HP,Notebook,14.0,6,Windows 10,1.58,35112,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,2.5,Nvidia Mid-End
Lenovo,Notebook,15.6,4,Windows 10,1.85,22106,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.0,Intel Low-End
Asus,Ultrabook,14.0,8,Windows 10,1.3,63563,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,2.7,Nvidia Mid-End
MSI,Gaming,15.6,16,Windows 10,2.2,69211,0,0,1920,1080,Mid,141.21,256,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Lenovo,Notebook,14.0,8,Windows 10,1.58,78854,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,2.7,Intel Low-End
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239,0,0,1920,1080,Mid,141.21,256,1000,0,0,Intel Core i7,1.8,Nvidia Mid-End
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473,0,1,3200,1800,Ultra,276.05,256,0,0,0,Intel Core i7,2.4,Intel High-End
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74539,1,1,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,2.5,Intel Low-End
HP,Notebook,14.0,4,Windows 10,1.63,38468,1,0,1366,768,Low,111.94,0,500,0,0,Intel Core i5,1.6,Intel Mid-End
Dell,Ultrabook,13.3,8,Windows 10,1.21,86793,1,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,74538,1,1,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
HP,Notebook,14.0,8,Windows 10,1.63,57756,0,0,1920,1080,Mid,157.35,512,0,0,0,Intel Core i7,1.8,Intel Mid-End
Dell,Notebook,15.6,8,Windows 10,2.16,60224,1,0,1920,1080,Mid,141.21,256,1000,0,0,Intel Core i7,1.8,Nvidia Mid-End
Asus,Notebook,17.3,4,Windows 10,2.0,30050,0,0,1920,1080,Mid,127.34,0,1000,0,0,Intel Core i3,2.0,Nvidia Low-End
Asus,Notebook,15.6,8,Windows 10,1.7,59567,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,Nvidia Mid-End
Acer,Notebook,15.6,6,Windows 10,2.1,25521,1,1,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.4,Intel Low-End
MSI,Gaming,15.6,16,Windows 10,1.8,119427,0,0,1920,1080,Mid,141.21,256,2000,0,0,Intel Core i7,2.8,Nvidia High-End
Lenovo,Notebook,15.6,8,No OS,2.2,33513,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,2.5,Nvidia Mid-End
HP,Notebook,17.3,16,Windows 10,2.5,67719,0,0,1920,1080,Mid,127.34,512,0,0,0,Intel Core i7,1.8,Nvidia Mid-End
Acer,Notebook,15.6,4,Windows 10,2.1,24029,0,0,1366,768,Low,100.45,256,0,0,0,AMD A9,3.0,AMD Low-End
HP,Notebook,15.6,4,No OS,1.86,13800,0,0,1366,768,Low,100.45,0,500,0,0,Other Intel,1.6,Intel Low-End
HP,Notebook,14.0,8,Windows 10,1.63,43263,0,0,1920,1080,Mid,157.35,0,1000,0,0,Intel Core i5,1.6,Intel Mid-End
Asus,Notebook,14.0,4,Windows 10,1.65,14811,0,0,1366,768,Low,111.94,64,0,0,0,AMD E-Series,1.5,AMD Low-End
Dell,Notebook,17.3,16,Windows 10,2.8,74379,0,0,1920,1080,Mid,127.34,256,2000,0,0,Intel Core i7,1.8,AMD Mid-End
HP,Notebook,17.3,8,Windows 10,2.5,49444,0,0,1920,1080,Mid,127.34,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Dell,Notebook,15.6,8,Windows 10,2.36,34045,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i5,2.5,AMD Mid-End
Dell,Notebook,15.6,4,Windows 10,2.2,23923,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i3,2.0,AMD Low-End
Acer,Ultrabook,14.0,8,Windows 10,1.6,47100,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,1.8,Intel Mid-End
Acer,Notebook,15.6,4,Windows 10,2.2,30476,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i3,2.7,Nvidia Mid-End
HP,Notebook,15.6,8,Windows 10,2.05,31861,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i7,2.7,Intel Low-End
HP,Notebook,14.0,8,Windows 10,1.63,52641,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,1.8,Intel Mid-End
